Rounded-full Image	Truncate	URL	Text-ellipsis	Leading-6	Leading-6	Text-current	Text-current	Leading-6	Leading-6	Flex	Text-xs	Leading-6
https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561	65e6d79d-595a-4bfe-bd89-bea8a0c935bd	https://omni.variational.io/perpetual/TRUMP	TRUMP-PERP	sell	Market	$4.04457	-	0.5%	No	2026-03-14	14:10:16	132.27
https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561	ea8d595a-4c16-4405-b5b9-152b28def90e	https://omni.variational.io/perpetual/TRUMP	TRUMP-PERP	sell	Market	$4.10340	-	0.5%	No	2026-03-14	13:36:37	107.27
https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561	46103894-b1cc-41b6-8798-49a10eeceb7f	https://omni.variational.io/perpetual/TRUMP	TRUMP-PERP	sell	Market	$4.24564	-	0.5%	No	2026-03-14	12:30:36	356.9
https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290	6d717918-e91c-4cd5-ad80-7dcb4449270f	https://omni.variational.io/perpetual/SUI	SUI-PERP	sell	Market	$1.04843	-	1%	Yes	2026-03-13	21:20:04	8,805.54
https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290	fb7047c2-54f8-494a-9749-c0c10e29435c	https://omni.variational.io/perpetual/SUI	SUI-PERP	buy	Market	$1.03354	-	0.1%	No	2026-03-13	14:40:59	8,805.54
https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656	7f09715a-dedb-48e8-8d60-af30159f78ab	https://omni.variational.io/perpetual/ONDO	ONDO-PERP	sell	Take Profit	$0.2747	$0.2750	-	Yes	2026-03-13	14:32:06	
https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656	de9ea0c5-f986-4673-99a1-9b51fc84d883	https://omni.variational.io/perpetual/ONDO	ONDO-PERP	buy	Market	$0.2665	-	0.1%	No	2026-03-13	14:31:38	35,802.2
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	7f4afd19-399b-4188-85a2-04f2620035d0	https://omni.variational.io/perpetual/SOL	SOL-PERP	sell	Stop Loss	$88.5188	$88.6000	-	Yes	2026-03-13	12:48:54	
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	e95bae48-4afd-4772-81b8-c912b36b9ed2	https://omni.variational.io/perpetual/SOL	SOL-PERP	buy	Market	$89.4113	-	0.5%	No	2026-03-13	12:47:40	99.772
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	f80e7f6f-eb55-46e2-bdd7-01c8507cc65d	https://omni.variational.io/perpetual/ETH	ETH-PERP	sell	Stop Loss	$2,094.87	$2,100.00	-	Yes	2026-03-13	12:00:24	
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	3f0ddf8b-7e79-4dd2-94e0-97baae38f25c	https://omni.variational.io/perpetual/ETH	ETH-PERP	buy	Market	$2,117.97	-	0.5%	No	2026-03-13	11:59:58	6.80312
