仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
SOL/USDT:USDT_1733416139218,SOL/USDT:USDT,空头,14,239.97,2024-12-6 0:28,239.733,2024-12-6 0:45,已平仓,3.317999999999927,3,1733416139218,1733417105805
SOL/USDT:USDT_1733418085602,SOL/USDT:USDT,空头,7,239.64000000000001,2024-12-6 1:01,236.02,2024-12-6 3:02,已平仓,25.340000000000032,8,1733418085602,1733425328067
SOL/USDT:USDT_1733462773490,SOL/USDT:USDT,多头,8,241.25,2024-12-6 13:26,238.4,2024-12-6 14:44,已平仓,-22.8,4,1733462773490,1733467479022
SOL/USDT:USDT_1733467603722,SOL/USDT:USDT,空头,12,238.18999999999997,2024-12-6 14:46,240.12,2024-12-6 16:21,已平仓,-23.16,3,1733467603722,1733473270344
SOL/USDT:USDT_1733473345438,SOL/USDT:USDT,多头,13,240.1,2024-12-6 16:22,237.92,2024-12-6 17:00,已平仓,-28.34,2,1733473345438,1733475601022
SOL/USDT:USDT_1733475716226,SOL/USDT:USDT,空头,13,237.59,2024-12-6 17:01,234.71,2024-12-6 19:31,已平仓,37.43999999999994,3,1733475716226,1733484686391
SOL/USDT:USDT_1733489436882,SOL/USDT:USDT,空头,1,232.98999999999998,2024-12-6 20:50,236.08,2024-12-6 22:27,已平仓,-3.09,6,1733489436882,1733495231045
SOL/USDT:USDT_1733495251072,SOL/USDT:USDT,多头,13,236.37,2024-12-6 22:27,237.29,2024-12-6 22:53,已平仓,11.959999999999837,2,1733495251072,1733496799280
SOL/USDT:USDT_1733498142737,SOL/USDT:USDT,多头,8,237.42,2024-12-6 23:15,239.73,2024-12-6 23:49,已平仓,18.480000000000018,3,1733498142737,1733500149457
SOL/USDT:USDT_1733504508978,SOL/USDT:USDT,多头,8,239.28,2024-12-7 1:01,237.03,2024-12-7 7:20,已平仓,-18,3,1733504508978,1733527205021
SOL/USDT:USDT_1734350326305,SOL/USDT:USDT,空头,12,214,2024-12-16 19:58,215.23,2024-12-16 21:16,已平仓,-14.76,5,1734350326305,1734354968396
SOL/USDT:USDT_1734356730163,SOL/USDT:USDT,多头,12,216,2024-12-16 21:45,216.69,2024-12-16 23:15,已平仓,8.279999999999973,3,1734356730163,1734362123358
SOL/USDT:USDT_1734367082524,SOL/USDT:USDT,多头,7,218.87,2024-12-17 0:38,216.26,2024-12-17 4:47,已平仓,-18.27,9,1734367082524,1734382044019
SOL/USDT:USDT_1734400960709,SOL/USDT:USDT,多头,13,214.57,2024-12-17 10:02,218.98,2024-12-17 17:22,已平仓,57.329999999999956,5,1734400960709,1734427376022
SOL/USDT:USDT_1734441988950,SOL/USDT:USDT,空头,11,224.99,2024-12-17 21:26,223.26,2024-12-17 22:05,已平仓,19.0300000000002,3,1734441988950,1734444330638
SOL/USDT:USDT_1734445043921,SOL/USDT:USDT,空头,13,221.92000000000002,2024-12-17 22:17,221.16,2024-12-17 22:43,已平仓,9.880000000000251,4,1734445043921,1734446638098
SOL/USDT:USDT_1734447097498,SOL/USDT:USDT,多头,18,221.84,2024-12-17 22:51,221.21,2024-12-17 23:03,已平仓,-11.34,7,1734447097498,1734447828173
SOL/USDT:USDT_1734448276982,SOL/USDT:USDT,空头,1,220.92,2024-12-17 23:11,222.56,2024-12-18 0:05,已平仓,-1.64,4,1734448276982,1734451516024
SOL/USDT:USDT_1734452033293,SOL/USDT:USDT,空头,2,226.96,2024-12-18 0:13,225.11,2024-12-18 0:25,已平仓,3.6999999999999886,6,1734452033293,1734452744339
SOL/USDT:USDT_1734452983133,SOL/USDT:USDT,空头,11,224.31000000000006,2024-12-18 0:29,225.37,2024-12-18 0:32,已平仓,-11.66,6,1734452983133,1734453135720
SOL/USDT:USDT_1734453950138,SOL/USDT:USDT,空头,13,225.30999999999997,2024-12-18 0:45,227.76,2024-12-18 1:07,已平仓,-31.85,5,1734453950138,1734455243021
SOL/USDT:USDT_1734455297911,SOL/USDT:USDT,多头,13,227.79,2024-12-18 1:08,226.39,2024-12-18 1:12,已平仓,-18.2,7,1734455297911,1734455574106
SOL/USDT:USDT_1734455658417,SOL/USDT:USDT,空头,17,226.33,2024-12-18 1:14,226.26,2024-12-18 1:21,已平仓,1.1900000000003672,5,1734455658417,1734456074115
